track,sut,condition,policy,ability,n,pass_rate,avg_latency_s
ko_native,qwen25_3b,oracle,advisory,KU,13,0.1538,1.97
ko_native,qwen25_3b,oracle,advisory,MR,7,0.1429,2.319
ko_native,qwen25_3b,oracle,advisory,REFL,6,,1.988
ko_native,qwen25_3b,oracle,advisory,TR,15,0.0667,1.811
ko_native,qwen25_3b,oracle,reflective,ABS,10,0.0,0.7
ko_native,qwen25_3b,oracle,reflective,ALL,70,0.0625,0.668
ko_native,qwen25_3b,oracle,reflective,IE,19,0.1053,0.533
ko_native,qwen25_3b,oracle,reflective,KU,13,0.0769,0.69
ko_native,qwen25_3b,oracle,reflective,MR,7,0.0,0.899
ko_native,qwen25_3b,oracle,reflective,REFL,6,,0.831
ko_native,qwen25_3b,oracle,reflective,TR,15,0.0667,0.628
ko_native,qwen25_3b,retrieval,advisory,ABS,10,0.0,2.731
ko_native,qwen25_3b,retrieval,advisory,ALL,70,0.125,2.342
ko_native,qwen25_3b,retrieval,advisory,IE,19,0.2105,2.115
ko_native,qwen25_3b,retrieval,advisory,KU,13,0.1538,2.032
ko_native,qwen25_3b,retrieval,advisory,MR,7,0.1429,2.547
ko_native,qwen25_3b,retrieval,advisory,REFL,6,,2.917
ko_native,qwen25_3b,retrieval,advisory,TR,15,0.0667,2.316
ko_native,qwen25_3b,retrieval,reflective,ABS,10,0.0,0.856
ko_native,qwen25_3b,retrieval,reflective,ALL,70,0.0938,0.854
ko_native,qwen25_3b,retrieval,reflective,IE,19,0.2105,0.774
ko_native,qwen25_3b,retrieval,reflective,KU,13,0.0,0.801
ko_native,qwen25_3b,retrieval,reflective,MR,7,0.1429,0.9
ko_native,qwen25_3b,retrieval,reflective,REFL,6,,1.122
ko_native,qwen25_3b,retrieval,reflective,TR,15,0.0667,0.87
ko_translated,kanana_nano,no_node,advisory,ABS,20,0.05,2.023
ko_translated,kanana_nano,no_node,advisory,ALL,100,0.01,2.107
ko_translated,kanana_nano,no_node,advisory,IE,20,0.0,2.256
ko_translated,kanana_nano,no_node,advisory,KU,20,0.0,2.068
ko_translated,kanana_nano,no_node,advisory,MR,20,0.0,2.097
ko_translated,kanana_nano,no_node,advisory,TR,20,0.0,2.089
ko_translated,kanana_nano,oracle,advisory,ABS,20,0.25,2.473
ko_translated,kanana_nano,oracle,advisory,ALL,100,0.05,2.433
ko_translated,kanana_nano,oracle,advisory,IE,20,0.0,2.154
ko_translated,kanana_nano,oracle,advisory,KU,20,0.0,2.343
ko_translated,kanana_nano,oracle,advisory,MR,20,0.0,2.713
ko_translated,kanana_nano,oracle,advisory,TR,20,0.0,2.483
ko_translated,kanana_nano,retrieval,advisory,ABS,20,0.25,2.445
ko_translated,kanana_nano,retrieval,advisory,ALL,100,0.05,2.632
ko_translated,kanana_nano,retrieval,advisory,IE,20,0.0,2.668
ko_translated,kanana_nano,retrieval,advisory,KU,20,0.0,2.73
ko_translated,kanana_nano,retrieval,advisory,MR,20,0.0,2.941
ko_translated,kanana_nano,retrieval,advisory,TR,20,0.0,2.375
ko_translated,qwen25_3b,no_node,advisory,ABS,20,0.0,1.279
ko_translated,qwen25_3b,no_node,advisory,ALL,100,0.0,1.455
ko_translated,qwen25_3b,no_node,advisory,IE,20,0.0,1.393
ko_translated,qwen25_3b,no_node,advisory,KU,20,0.0,1.659
ko_translated,qwen25_3b,no_node,advisory,MR,20,0.0,1.384
ko_translated,qwen25_3b,no_node,advisory,TR,20,0.0,1.563
ko_translated,qwen25_3b,oracle,advisory,ABS,20,0.05,1.644
ko_translated,qwen25_3b,oracle,advisory,ALL,100,0.01,1.755
ko_translated,qwen25_3b,oracle,advisory,IE,20,0.0,1.59
ko_translated,qwen25_3b,oracle,advisory,KU,20,0.0,2.066
ko_translated,qwen25_3b,oracle,advisory,MR,20,0.0,1.941
ko_translated,qwen25_3b,oracle,advisory,TR,20,0.0,1.533
ko_translated,qwen25_3b,retrieval,advisory,ABS,20,0.1,1.874
ko_translated,qwen25_3b,retrieval,advisory,ALL,100,0.02,1.942
ko_translated,qwen25_3b,retrieval,advisory,IE,20,0.0,1.91
ko_translated,qwen25_3b,retrieval,advisory,KU,20,0.0,2.266
ko_translated,qwen25_3b,retrieval,advisory,MR,20,0.0,2.231
ko_translated,qwen25_3b,retrieval,advisory,TR,20,0.0,1.43
